
10 55 30 45
110 6105 3264 820
210 22155 11988 1645
310 48205 25253 3128
410 84255 38937 3739
510 130305 67240 5439
610 186355 90154 5952
710 252405 122551 6989
810 328455 165985 9838
910 414505 204546 9487
1010 510555 256655 10571
1110 616605 309521 12470
1210 732655 363508 12983
1310 858705 421500 15350
1410 994755 493015 16373
1510 1140805 560832 17479
1610 1296855 642063 17786
1710 1462905 723256 22404
1810 1638955 829887 20656
1910 1825005 901812 23344
2010 2021055 981864 23911
2110 2227105 1114341 29110
2210 2443155 1184765 25878
2310 2669205 1301485 30080
2410 2905255 1433057 28415
2510 3151305 1541405 31630
2610 3407355 1662726 32989
2710 3673405 1796041 34814
2810 3949455 1972888 36002
2910 4235505 2144653 34668
3010 4531555 2285874 36708
3110 4837605 2461445 38839
3210 5153655 2574705 38510
3310 5479705 2655805 40307
3410 5815755 2864607 45899
3510 6161805 3056581 43935
3610 6517855 3250736 43480
3710 6883905 3414740 45264
3810 7259955 3578946 46543
3910 7646005 3839857 48267
4010 8042055 3895351 50797
4110 8448105 4141981 51619
4210 8864155 4379841 57660
4310 9290205 4607236 56291
4410 9726255 4808532 61644
4510 10172305 4936230 59476
4610 10628355 5335036 59379
4710 11094405 5474960 61298
4810 11570455 5676139 66717
4910 12056505 5857402 65193
5010 12552555 6180449 67594
5110 13058605 6401517 68377
5210 13574655 6691399 66890
5310 14100705 7042043 73474
5410 14636755 7310065 73861
5510 15182805 7486124 80165
5610 15738855 7771825 79828
5710 16304905 8054618 76649
5810 16880955 8237025 77842
5910 17467005 8522961 79392
6010 18063055 8849038 77569
6110 18669105 9260387 80646
6210 19285155 9624345 81820
6310 19911205 9859998 83057
6410 20547255 10118906 80899
6510 21193305 10513786 91510
6610 21849355 10730345 94845
6710 22515405 11094963 94797
6810 23191455 11655259 90623
6910 23877505 11833147 95007
7010 24573555 12101642 103643
7110 25279605 12678929 100303
7210 25995655 12875786 98680
7310 26721705 13220232 98992
7410 27457755 13533688 119252
7510 28203805 14067561 100079
7610 28959855 14205226 113640
7710 29725905 14538799 111465
7810 30501955 15018968 109372
7910 31288005 15634888 125600
8010 32084055 16018442 120722
8110 32890105 16245597 117661
8210 33706155 16788032 126404
8310 34532205 16836177 115463
8410 35368255 17619276 122933
8510 36214305 18287292 117391
8610 37070355 18454625 127564
8710 37936405 18904010 131454
8810 38812455 18987978 118469
8910 39698505 19448056 136318
9010 40594555 19950461 131330
9110 41500605 20546049 128288
9210 42416655 21025157 135523
9310 43342705 21349320 129332
9410 44278755 21969951 140621
9510 45224805 22535950 134691
9610 46180855 22958058 132453
9710 47146905 23191212 137606
9810 48122955 23927275 149668
9910 49109005 24372511 147358
